poet_id,nom_canonique,nom_famille,nom_variantes,holdouts,anth_Buk_Vang_1972,streets_inside_1978,poetry_loves_poetry_1985,invocation_LA_1989,grand_passion_1995,stand_up_1990,stand_up_2002,leimert_park_2006,wide_awake_2015,cross_strokes_2015,coiled_serpent_2016,leimert_park_redux_2017,workshop_beyond_baroque_2018,lapl_list,laureat,mohr_blog_absents
234,Leland Hickman,Hickman,,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,1
235,Bill Hickok,Hickok,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
236,Billy Higgins,Higgins,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
237,Regina Higgins,Higgins,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0
238,William Ryan Hilary,Hilary,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
239,Yuri Hinson,Hinson,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
240,Jack Hirschman,Hirschman,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
241,Marlene Hitt,Hitt,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
242,Jen Hofer,Hofer,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0
243,Alexandra Hohmann,Hohmann,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
244,Karen Holden,Holden,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
245,Harmony Holiday,Holiday,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
246,Jamal Holmes,Holmes,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
247,Tanya Ko Hong,Hong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
248,Walter Hopps,Hopps,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
249,Coy Howard,Howard,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
250,Eric Howard,Howard,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
251,Dorothy B. Hughes,Hughes,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
252,Nan Hunt,Hunt,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
253,Terry Hunter,Hunter,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
254,Boris Salvador Ingles,Ingles,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
255,Charlotte Innes,Innes,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
256,Eileen Aaronson Ireland,Ireland,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
257,William Iwamoto,Iwamoto,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
